stop_id,shipment_id,stop_number,hub_name,planned_arrival,actual_arrival,planned_departure,actual_departure
ST-S001-1,SHIP-001,1,Chicago-Main,2026-04-03 12:00:00+00,2026-04-03 12:00:00+00,2026-04-03 13:00:00+00,2026-04-03 13:00:00+00
ST-S001-2,SHIP-001,2,Dallas-Hub,2026-04-04 12:00:00+00,2026-04-04 11:00:00+00,2026-04-04 14:00:00+00,2026-04-04 13:00:00+00
ST-S001-3,SHIP-001,3,Phoenix-West,2026-04-05 06:00:00+00,,2026-04-05 08:00:00+00,
ST-S001-4,SHIP-001,4,NYC-Port,2026-04-06 06:00:00+00,,2026-04-06 08:00:00+00,
ST-S002-1,SHIP-002,1,Atlanta-South,2026-04-01 10:00:00+00,2026-04-01 10:00:00+00,2026-04-01 11:00:00+00,2026-04-01 11:00:00+00
ST-S002-2,SHIP-002,2,Dallas-Hub,2026-04-02 16:00:00+00,2026-04-02 15:00:00+00,2026-04-02 18:00:00+00,2026-04-02 17:00:00+00
ST-S002-3,SHIP-002,3,Chicago-Main,2026-04-03 22:00:00+00,2026-04-03 22:00:00+00,2026-04-02 18:00:00+00,2026-04-02 18:00:00+00
ST-S003-1,SHIP-003,1,NYC-Port,2026-04-04 14:00:00+00,2026-04-04 14:00:00+00,2026-04-04 16:00:00+00,2026-04-04 16:00:00+00
ST-S003-2,SHIP-003,2,Chicago-Main,2026-04-05 02:00:00+00,,2026-04-05 04:00:00+00,
ST-S003-3,SHIP-003,3,Dallas-Hub,2026-04-05 18:00:00+00,,2026-04-05 20:00:00+00,
ST-S003-4,SHIP-003,4,Phoenix-West,2026-04-06 10:00:00+00,,2026-04-06 12:00:00+00,
ST-S003-5,SHIP-003,5,Atlanta-South,2026-04-07 02:00:00+00,,2026-04-07 04:00:00+00,
ST-S004-1,SHIP-004,1,Phoenix-West,2026-04-04 06:00:00+00,2026-04-04 06:00:00+00,2026-04-04 07:00:00+00,2026-04-04 07:00:00+00
ST-S004-2,SHIP-004,2,Dallas-Hub,2026-04-04 16:00:00+00,2026-04-04 15:00:00+00,2026-04-04 20:00:00+00,
ST-S004-3,SHIP-004,3,Chicago-Main,2026-04-05 12:00:00+00,,2026-04-05 14:00:00+00,
ST-S005-1,SHIP-005,1,Chicago-Main,2026-03-31 18:00:00+00,2026-03-31 18:00:00+00,2026-03-31 19:00:00+00,2026-03-31 19:00:00+00
ST-S005-2,SHIP-005,2,Atlanta-South,2026-04-01 18:00:00+00,2026-04-01 18:00:00+00,2026-04-01 19:00:00+00,2026-04-01 19:00:00+00
ST-S005-3,SHIP-005,3,NYC-Port,2026-04-02 18:00:00+00,2026-04-02 18:00:00+00,2026-04-02 19:00:00+00,2026-04-02 19:00:00+00
ST-S005-4,SHIP-005,4,Dallas-Hub,2026-04-04 10:00:00+00,2026-04-04 10:00:00+00,2026-04-04 12:00:00+00,2026-04-04 12:00:00+00
